code,name,principal_id,category,eceran,unit_1,unit_2,unit_3,ratio_unit_2_per_unit_1,ratio_unit_3_per_unit_2,availability_default,spec_technical
300096,NABATI RCE 5g GT (20pcs x 12ib),KSNI,WAFER FLAT,WFR-E500,KRT,BOX,PCS,12,20,OPEN,
300097,NABATI RCE 15g GT (10pcs x 12bal),KSNI,WAFER FLAT,WFR-E01K,KRT,BOX,PCS,12,10,OPEN,
300098,NABATI RCE 37g GT (60pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,60,1,OPEN,
301013,NABATI RCE 37g GT(80pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,80,1,OPEN,
301909,NABATI GGM 5g GT (20pcs x 12ib),KSNI,WAFER FLAT,WFR-E500,KRT,BOX,PCS,12,20,OPEN,
301925,NABATI GGM 15g GT (10pcs x 12bal),KSNI,WAFER FLAT,WFR-E01K,KRT,BOX,PCS,12,10,OPEN,
301926,NABATI GGM 37g GT (60pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,60,1,OPEN,
301946,NABATI GGM 37g GT (80pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,80,1,OPEN,
300987,NABATI GGM 110g GT (24pcs),KSNI,WAFER FLAT,WFR-E05K,KRT,PCS,,24,1,OPEN,
301011,NABATI RCE 100g GT (24pcs),KSNI,WAFER FLAT,WFR-E05K,KRT,PCS,,24,1,OPEN,
300186,NABATI RCO 5g GT (20pcs x 12ib),KSNI,WAFER FLAT,WFR-E500,KRT,BOX,PCS,12,20,OPEN,
300187,NABATI RCO 15g GT (10pcs x 12bal),KSNI,WAFER FLAT,WFR-E01K,KRT,BOX,PCS,12,10,OPEN,
300188,NABATI RCO 37g GT (60pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,60,1,OPEN,
300814,NABATI RCO 37g GT(80pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,80,1,OPEN,
300604,NABATI RCO 100g GT (24pcs),KSNI,WAFER FLAT,WFR-E05K,KRT,PCS,,24,1,OPEN,
300195,TIME BREAK RCO 14g GT (20pcs x 6bal),KSNI,CONFECTIONARY,TBK-E01K,KRT,BOX,PCS,6,20,OPEN,
300196,TIME BREAK EXTRA RCO 34g GT (10pcs x 6bal),KSNI,CONFECTIONARY,TBK-E02K,KRT,BOX,PCS,6,10,OPEN,
300812,TIME BREAK EXT RCO KLP 32g GT (10pcs x 6bal),KSNI,CONFECTIONARY,TBK-E02K,KRT,BOX,PCS,6,10,OPEN,
301923,TIME BREAK GGM 14g GT (20pcs x 6bal),KSNI,CONFECTIONARY,TBK-E01K,KRT,BOX,PCS,6,20,OPEN,
301924,TIME BREAK EXT GGM 32g GT (10pcs x 6bal),KSNI,CONFECTIONARY,TBK-E02K,KRT,BOX,PCS,6,10,OPEN,
301916,TIME BREAK CCP 16g GT (20pcs x 6bal),KSNI,CONFECTIONARY,TBK-E01K,KRT,BOX,PCS,6,20,OPEN,
301938,TIME BREAK EXT STW 32g GT (10pcs x 6ib),KSNI,CONFECTIONARY,TBK-E02K,KRT,BOX,PCS,6,10,OPEN,
300244,NABATI RCW 37g GT (60pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,60,1,OPEN,
300249,NABATI RCW 37g GT (80pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,80,1,OPEN,
300246,NABATI RCW 100g GT (24pcs),KSNI,WAFER FLAT,WFR-E05K,KRT,PCS,,24,1,OPEN,
300367,NABATI PLV 37g GT (60pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,60,1,OPEN,
300371,NABATI PLV 37g GT (80pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,80,1,OPEN,
300370,NABATI PLV 100g GT (24pcs),KSNI,WAFER FLAT,WFR-E05K,KRT,PCS,,24,1,OPEN,
300368,NABATI PLV 15g GT (10pcs x 12bal),KSNI,WAFER FLAT,WFR-E01K,KRT,BOX,PCS,12,10,OPEN,
301931,NABATI CCP 5g GT (20pcs x 12ib),KSNI,WAFER FLAT,WFR-E500,KRT,BOX,PCS,12,20,OPEN,
301932,NABATI CCP 15g GT (10pcs x 12bag),KSNI,WAFER FLAT,WFR-E01K,KRT,BOX,PCS,12,10,OPEN,
301933,NABATI CCP 37g GT (60pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,60,1,OPEN,
301945,NABATI CCP 37g GT (80pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,80,1,OPEN,
301935,NABATI STW CC 15g GT (10pcs x 12bag),KSNI,WAFER FLAT,WFR-E01K,KRT,BOX,PCS,12,10,OPEN,
301936,NABATI STW CC 37g GT (60pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,60,1,OPEN,
301944,NAB STWCC37gGT(80pcs),KSNI,WAFER FLAT,WFR-E02K,KRT,PCS,,80,1,OPEN,
301937,NABATI STW CC 100g GT (24pcs),KSNI,WAFER FLAT,WFR-E05K,KRT,PCS,,24,1,OPEN,
302024,ROLLS RCE 5.5g GT (20pcs x 6ib),KSNI,WAFER STICK,ROL-E500,KRT,BOX,PCS,6,20,OPEN,
302127,"ROLL'S RCO 5,5g GT (20pcs x 6ib) ",KSNI,WAFER STICK,ROL-E500,KRT,BOX,PCS,6,20,OPEN,
302222,ROLLS HZL 16g GT (20pcs x 6ib),KSNI,WAFER STICK,ROL-E01K,KRT,BOX,PCS,6,20,OPEN,
302122,ROLL'S BIG RCO 14g GT (20pcs x 6ib) ,KSNI,WAFER STICK,ROL-E01K,KRT,BOX,PCS,6,20,OPEN,
302023,ROLLS BIG RCE 12g GT (20pcs x 6ib),KSNI,WAFER STICK,ROL-E01K,KRT,BOX,PCS,6,20,OPEN,
302904,ROLLS BIG GGM 12g GT (20pcs x 6ib),KSNI,WAFER STICK,ROL-E01K,KRT,BOX,PCS,6,20,OPEN,
304031,AHH RCE 4g GT (20pcs x 10ib),KSNI,SNACKS,AHH-E500,KRT,BOX,PCS,10,20,OPEN,
304026,AHH RCE 9g GT (10pcs x 12ib),KSNI,SNACKS,AHH-E01K,KRT,BOX,PCS,12,10,OPEN,
304961,AHH STW CC 9g GT (10pcs x 12ib) ,KSNI,SNACKS,AHH-E01K,KRT,BOX,PCS,12,10,OPEN,
304149,AHH RCO 4g GT (20pcs x 10ib),KSNI,SNACKS,AHH-E500,KRT,BOX,PCS,10,20,OPEN,
304160,AHH RCO 9g GT (10pcs x 12ib),KSNI,SNACKS,AHH-E01K,KRT,BOX,PCS,12,10,OPEN,
